timestamp,date,car_count
2026-09-09 18:41:12,2026-09-09,Ошибка
2026-09-09 19:00:12,2026-09-09,15823
2026-09-10 09:02:42,2026-09-10,15825
2026-09-11 09:02:30,2026-09-11,15892
2026-09-12 09:02:49,2026-09-12,15943
2026-09-13 09:23:23,2026-09-13,15916
2026-09-14 09:04:22,2026-09-14,15905
2026-09-15 09:05:14,2026-09-15,16088
2026-09-16 09:02:52,2026-09-16,16184
2026-09-17 09:02:57,2026-09-17,15599
2026-09-18 09:02:57,2026-09-18,16378
2026-09-19 09:02:59,2026-09-19,16373
2026-09-20 09:02:38,2026-09-20,16348
2026-09-21 09:03:04,2026-09-21,16344
2026-09-22 09:02:41,2026-09-22,16539
2026-09-23 09:02:40,2026-09-23,16547
2026-09-24 09:03:22,2026-09-24,16588
